Dataset,OLS,LASSO,RF,GBM,HistGBM
Madrid Q1 (train),74.77,75.06890821741122,58.29623862561201,59.69457553076415,61.43995234153014
Madrid Q2 (later),78.41,78.81969462989866,67.30918105968829,68.82431915277755,68.74312032829289
Valencia Q1 (other city),78.81,78.49629112000495,77.95323425083659,79.64906971151575,79.48210168776421
