id,price,latitude,longitude,ln_price,f_property_type,f_room_type,f_neighbourhood_cleansed,n_accommodates,n_bedrooms,n_beds,n_bathrooms,n_number_of_reviews,n_reviews_per_month,n_review_scores_rating,n_minimum_nights,n_availability_365,n_host_listings_count,p_host_response_rate,d_host_is_superhost,d_instant_bookable,d_host_identity_verified,n_days_since,d_wifi,d_airconditioning,d_heating,d_kitchen,d_washer,d_dryer,d_tv,d_hairdryer,d_iron,d_elevator,d_freeparking,d_pool,d_dishesandsilverware,d_hottub,d_gym,d_selfcheckin,d_smokingallowed,d_petsallowed,d_hotwater,d_coffeemaker,d_dishwasher,d_microwave,d_refrigerator,d_balcony,d_fireextinguisher,d_smokealarm,d_carbonmonoxidealarm,d_dedicatedworkspace,d_essentials,d_hangers,d_bedlinens,n_amenities_count,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_host_response_rate,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
44245100,247.0,39.47371,-0.37552,5.5093883366279774,Apartment,Entire home/apt,SANT FRANCESC,5.0,2.0,3.0,2.0,48.0,0.85,4.48,1.0,242.0,33.0,100.0,0,1,1,1688.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,34,25.0,1.791759469228055,3.210401995568401,1.3862943611198906,3.8918202981106265,2,2,1,0,0,0,0,7.4318919168078,55.233017463113114,410.4858160250144,1.501852701754163
19169313,149.0,39.47778,-0.38003,5.003946305945459,Apartment,Entire home/apt,EL CARME,4.0,1.0,3.0,1.0,90.0,1.04,4.44,1.0,338.0,33.0,100.0,0,1,1,2596.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,32,16.0,1.6094379124341003,2.5902903939802346,1.3862943611198906,4.51085950651685,1,3,1,0,0,0,0,7.862112211662748,61.81280842877651,485.9792359850539,1.4929040961781488
19169314,117.0,39.47805,-0.38224,4.762173934797756,Apartment,Entire home/apt,EL CARME,2.0,1.0,3.0,1.0,39.0,0.5,4.38,1.0,326.0,33.0,100.0,0,1,1,2349.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,25,4.0,1.0986122886681098,1.206948960812582,1.3862943611198906,3.6888794541139363,1,2,1,0,0,0,0,7.762170607138205,60.251292534320285,467.68081195198647,1.47932922708708
628012942604809788,72.0,39.4739,-0.3699,4.276666119016055,Apartment,Entire home/apt,LA XEREA,4.0,1.0,2.0,1.0,36.0,1.05,4.58,1.0,212.0,33.0,100.0,0,1,1,1026.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,28,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,3.6109179126442243,1,2,1,0,0,0,0,6.934397209928558,48.08586466506497,333.44648577042875,1.5238800240724537
1376582066168387777,40.0,39.44422033844164,-0.3900803625583648,3.6888794541139363,Apartment,Private room,SANT MARCEL.LI,2.0,1.0,1.0,4.0,0.0,1.2,4.77,2.0,364.0,2.0,100.0,0,0,1,649.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,13,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,0.0,2,0,2,1,1,1,1,6.476972362889683,41.95117098963676,271.7165750907367,1.5644405465033644
627324371598426072,330.0,39.47234,-0.35373,5.799092654460526,Apartment,Entire home/apt,L'AMISTAT,4.0,2.0,2.0,1.0,0.0,1.2,4.77,3.0,364.0,1.0,100.0,0,0,1,649.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,0.0,1,0,3,1,1,1,1,6.476972362889683,41.95117098963676,271.7165750907367,1.5644405465033644
1274440108098075486,48.0,39.4644077,-0.3434171,3.871201010907891,Apartment,Private room,AIORA,1.0,1.0,1.0,1.0,1.0,0.47,5.0,11.0,157.0,5.0,100.0,0,0,1,63.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,45,1.0,0.6931471805599453,0.4804530139182014,0.6931471805599453,0.6931471805599453,1,1,4,0,0,0,0,4.1588830833596715,17.296308501055247,71.93332482960875,1.6114359150967734
1250615623419057159,51.0,39.46339331210306,-0.3444461508323483,3.9318256327243257,Apartment,Private room,LA CREU DEL GRAU,2.0,1.0,1.0,1.0,1.0,0.33,5.0,28.0,175.0,5.0,100.0,0,0,1,89.0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,44,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,0.6931471805599453,1,1,4,0,0,0,0,4.499809670330265,20.24828706919777,91.11343796159937,1.6114359150967734
50485779,158.0,39.46283,-0.34393,5.062595033026967,Apartment,Entire home/apt,LA CREU DEL GRAU,5.0,2.0,3.0,1.0,121.0,2.93,4.73,2.0,124.0,5.0,100.0,0,0,1,1238.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,50,25.0,1.791759469228055,3.210401995568401,1.3862943611198906,4.804021044733257,1,3,2,0,0,0,0,7.122059881629142,50.72373695751131,361.2574920314008,1.556037135706985
52775702,38.0,39.4644077,-0.3434171,3.6375861597263857,Apartment,Private room,AIORA,2.0,1.0,1.0,1.0,2.0,0.44,5.0,28.0,192.0,5.0,100.0,0,0,1,135.0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,43,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,1.0986122886681098,1,1,4,0,0,0,0,4.912654885736052,24.134178026346305,118.56288759435385,1.6114359150967734
